City,Country
Berlin,Germany
Hamburg,Germany
Munchen,Germany
Munich,Germany
Koln,Germany
Cologne,Germany
Frankfurt,Germany
Stuttgart,Germany
Dusseldorf,Germany
Dortmund,Germany
Essen,Germany
Bremen,Germany
Dresden,Germany
Leipzig,Germany
Hannover,Germany
Hanover,Germany
Nurnberg,Germany
Nuremberg,Germany
Duisburg,Germany
Bochum,Germany
Wuppertal,Germany
Bonn,Germany
Bielefeld,Germany
Mannheim,Germany
Karlsruhe,Germany
Munster,Germany
Wiesbaden,Germany
Augsburg,Germany
Aachen,Germany
Monchengladbach,Germany
Magdeburg,Germany
Freiburg,Germany
Mainz,Germany
Kassel,Germany
Hagen,Germany
Saarbrucken,Germany
Osnabruck,Germany
Oldenburg,Germany
Leverkusen,Germany
Potsdam,Germany
Heidelberg,Germany
Paderborn,Germany
Darmstadt,Germany
Dublin,Ireland
Cork,Ireland
Galway,Ireland
Limerick,Ireland
Waterford,Ireland
Drogheda,Ireland
Dún Dealgan,Ireland
Swords,Ireland
Tralee,Ireland
Carlow,Ireland
Dunleary,Ireland
London,United Kingdom
Birmingham,United Kingdom
Manchester,United Kingdom
Leeds,United Kingdom
Newcastle,United Kingdom
Birstall,United Kingdom
Glasgow,United Kingdom
Liverpool,United Kingdom
Portsmouth,United Kingdom
Southampton,United Kingdom
Nottingham,United Kingdom
Bristol,United Kingdom
Sheffield,United Kingdom
Hull,United Kingdom
Leicester,United Kingdom
Edinburgh,United Kingdom
Caerdydd,United Kingdom
Stoke,United Kingdom
Coventry,United Kingdom
Reading,United Kingdom
Belfast,United Kingdom
Derby,United Kingdom
Plymouth,United Kingdom
Wolverhampton,United Kingdom
Abertawe,United Kingdom
Aberdeen,United Kingdom
Norwich,United Kingdom
Paris,France
Nice,France
Toulouse,France
Marseille,France
Rennes,France
Grenoble,France
Nantes,France
Montpellier,France
Lyon,France
Rouen,France
Strasbourg,France
Nancy,France
Metz,France
Brest,France
Mulhouse,France
Limoges,France
Orléans,France
Bordeaux,France
Le Havre,France
Lille,France
Reims,France
Saint-Étienne,France
Toulon,France
Dijon,France
